"AreaTableId","MapId","ParentAreaTableId","AreaBit","Flags","Col5","Flag2","SoundProviderPref","SoundProviderPrefUnderwater","Col09","AmbienceID","ZoneMusic","ZoneName","STRING_FLAGS1","Team","LiquidTypeOverride1","LiquidTypeOverride2","LiquidTypeOverride3","LiquidTypeOverride4","MinElevation","AmbientMultiplier","MountFlags","UwIntroSound","UwAmbience","WorldPvpId","PvpCombatWorldStateID","WildBattlePetLevelMin","WildBattlePetLevelMax","WindSettingsID","Col29"
74,0,8,171,2.003922,0,0,11,0,0,1594,0,53,"Pool of Tears",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
75,0,8,172,2.503922,0,0,11,0,0,1620,0,54,"Stonard",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
76,0,8,173,2.003922,0,0,11,0,0,1628,0,53,"Fallow Sanctuary",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
77,0,6176,174,2.753906,0,0,11,42,8,1661,0,0,"Anvilmar",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
80,0,12,175,2.003922,0,0,11,35,17,1670,0,10,"Stormwind Mountains",2,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
81,451,22,575,2.000015,0,0,11,0,0,1709,0,0,"Jeff NE Quadrant Changed",0,0,0,0,0,-500,0,0,13,0,0,675,0,0,0,0
82,451,22,176,2.000015,0,0,11,0,0,1756,0,0,"Jeff NW Quadrant",0,0,0,0,0,-500,0,0,13,0,0,675,0,0,0,0
83,451,22,177,2.000015,0,0,11,0,0,1788,0,0,"Jeff SE Quadrant",0,0,0,0,0,-500,0,0,13,0,0,675,0,0,0,0
84,451,22,178,2.000015,0,0,11,0,0,1820,0,0,"Jeff SW Quadrant",0,0,0,0,0,-500,0,0,13,0,0,675,0,0,0,0
85,0,0,179,16448,0,0,11,601,2,1852,0,0,"Tirisfal Glades",4,0,0,0,0,-500,0.3,0,15,0,0,675,0,0,1,2
86,0,12,180,2.003922,0,0,11,35,1,1883,0,8,"Stone Cairn Lake",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
87,0,12,548,2.753922,0,0,11,35,1,1916,0,5,"Goldshire",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
88,0,12,181,2.003922,0,0,11,35,1,1926,672,6,"Eastvale Logging Camp",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
89,0,12,182,2.003922,0,0,11,35,1,1968,0,0,"Mirror Lake Orchard",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
91,0,12,183,2.003922,0,0,11,35,1,2008,0,8,"Tower of Azora",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
92,0,12,558,2.003922,0,0,11,35,1,2036,0,0,"Mirror Lake",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
93,0,10,628,2.003922,0,0,11,0,774,2059,0,28,"Vul'Gol Ogre Mound",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
94,0,10,184,2.003922,0,0,11,0,2,2095,667,24,"Raven Hill",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
95,0,44,185,2.003922,0,0,11,0,1,2116,0,20,"Redridge Canyons",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
96,0,44,186,2.003922,0,0,11,0,1,2148,0,25,"Tower of Ilgalar",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
97,0,44,187,2.003922,0,0,11,0,748,2180,0,19,"Alther's Mill",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
98,0,44,188,2.003922,0,0,11,0,1,2207,0,17,"Rethban Caverns",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
99,0,33,189,2.503922,0,0,11,0,3,2238,0,30,"Rebel Camp",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
100,0,33,585,2.003922,0,0,11,0,3,2259,0,31,"Nesingwary's Expedition",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
101,0,33,190,2.003922,0,0,11,0,715,2306,0,32,"Kurzen's Compound",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
102,0,33,586,2.003922,0,0,11,0,713,2341,0,41,"Ruins of Zul'Kunda",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
103,0,33,191,2.003922,0,0,11,0,3,2377,0,40,"Ruins of Zul'Mamwe",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
104,0,33,192,2.003922,0,0,11,567,3,2413,0,37,"The Vile Reef",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
105,0,33,193,2.003922,0,0,11,0,963,2439,0,42,"Mosh'Ogg Ogre Mound",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
106,0,33,194,2.003922,0,0,11,0,3,2477,0,0,"The Stockpile",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
107,0,40,195,2.003922,0,0,11,0,9,2504,0,14,"Saldean's Farm",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
108,0,40,196,2.753922,0,0,11,0,709,2533,0,15,"Sentinel Hill",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
109,0,40,197,2.003922,0,0,11,0,710,2560,0,15,"Furlbrow's Pumpkin Farm",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
111,0,40,198,2.003922,0,0,11,0,9,2606,0,12,"Jangolode Mine",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
113,0,40,576,2.003922,0,0,11,0,9,2635,0,15,"Gold Coast Quarry",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
115,0,40,199,2.003922,0,0,11,567,9,2669,0,17,"Westfall Lighthouse",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
116,0,8,200,2.003922,0,0,11,0,0,2708,0,53,"Misty Valley",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
117,0,33,629,2.503922,0,0,11,0,715,2733,0,35,"Grom'gol Base Camp",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
118,0,11,201,2.003922,0,0,11,0,191,2769,0,22,"Whelgar's Excavation Site",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
120,0,12,559,2.503922,0,0,11,35,787,2819,0,8,"Westbrook Garrison",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
121,0,10,202,2.003922,0,0,11,0,771,2856,0,28,"Tranquil Gardens Cemetery",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
122,0,33,203,2.003922,0,0,11,567,713,2906,0,37,"Zuuldaia Ruins",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
123,0,33,204,2.003922,0,0,11,567,714,2935,0,34,"Bal'lal Ruins",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
125,0,33,205,2.003922,0,0,11,0,3,2962,0,35,"Kal'ai Ruins",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
126,0,33,206,2.003922,0,0,11,0,714,2987,0,0,"Tkashi Ruins",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
127,0,33,207,2.003922,0,0,11,0,713,3012,0,40,"Balia'mah Ruins",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
128,0,33,208,2.003922,0,0,11,0,714,3043,0,36,"Ziata'jai Ruins",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
129,0,33,209,2.003922,0,0,11,0,3,3074,0,37,"Mizjah Ruins",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
130,0,0,210,16448,0,0,11,28,2,3099,0,0,"Silverpine Forest",4,0,0,0,0,-500,0.4,0,15,0,0,675,0,0,3,6
131,0,1,211,2.753922,0,0,11,0,0,3134,0,5,"Kharanos",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
132,0,6176,212,2.253906,0,0,11,42,759,3143,0,0,"Coldridge Valley",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
133,0,6457,213,2.003906,0,0,11,42,765,3176,665,10,"New Tinkertown",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
134,0,1,214,2.003922,0,0,11,0,8,3202,0,10,"Gol'Bolar Quarry",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
135,0,6457,215,2.003906,0,0,11,42,0,3234,121,7,"Frostmane Hold",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
136,0,1,216,2.003922,0,0,11,0,0,3263,666,5,"The Grizzled Den",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
137,0,6457,217,2.503922,0,0,11,0,0,3295,0,7,"Brewnall Village",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
138,0,1,218,2.003922,0,0,11,0,8,3328,664,7,"Misty Pine Refuge",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
139,0,0,219,16448,0,0,11,37,775,3362,0,0,"Eastern Plaguelands",0,0,0,0,0,-500,0.5,0,15,0,0,675,0,0,12,13
141,1,0,220,16448,0,0,11,584,11,3401,0,0,"Teldrassil",2,0,0,0,0,-500,0.4,0,15,0,0,675,0,0,1,2
142,0,38,221,2.003922,0,0,11,0,1,3412,681,15,"Ironband's Excavation Site",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
143,0,38,222,2.003922,0,0,11,573,793,3464,0,18,"Mo'grosh Stronghold",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
144,0,38,223,2.753922,0,0,11,0,1,3503,0,10,"Thelsamar",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
145,0,38,224,2.003922,0,0,11,0,1,3513,0,18,"Algaz Gate",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
146,0,38,225,2.503922,0,0,11,0,1,3534,0,15,"Stonewrought Dam",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
147,0,38,226,2.003922,0,0,11,0,1,3567,0,15,"The Farstrider Lodge",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
148,1,0,227,16448,0,0,11,575,867,3607,0,0,"Darkshore",2,0,0,0,0,-500,0.6,0,15,0,0,675,0,0,3,6
149,0,38,228,2.003922,0,0,11,0,1,3617,0,12,"Silver Stream Mine",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
150,0,11,229,2.503922,0,0,11,567,702,3653,0,20,"Menethil Harbor",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
151,451,0,560,16448,0,0,11,47,226,3684,0,0,"Designer Island",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
152,0,85,230,2.503922,0,0,11,0,2,3715,0,9,"The Bulwark",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
153,0,85,607,2.003922,0,0,11,0,2,3738,0,10,"Ruins of Lordaeron",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
154,0,6454,231,2.753906,0,0,11,607,712,3774,0,0,"Deathknell",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
155,0,6454,232,2.003906,0,0,11,40,2,3785,0,0,"Night Web's Hollow",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
156,0,85,233,2.003922,0,0,11,0,2,3820,0,6,"Solliden Farmstead",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
157,0,85,234,2.003922,0,0,11,0,15,3857,0,8,"Agamand Mills",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
158,0,85,235,2.003922,0,0,11,0,15,3884,0,0,"Agamand Family Crypt",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
159,0,85,236,2.753922,0,0,11,0,712,3924,0,5,"Brill",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
160,0,85,237,2.003922,0,0,11,0,2,3930,0,12,"Whispering Gardens",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
161,0,85,238,2.003922,0,0,11,0,2,3967,0,10,"Terrace of Repose",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
162,0,85,239,2.003922,0,0,11,0,2,4001,0,7,"Brightwater Lake",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
163,0,85,240,2.003922,0,0,11,0,2,4034,0,0,"Gunther's Retreat",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
164,0,85,241,2.003922,0,0,11,0,2,4069,0,7,"Garren's Haunt",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
165,0,85,242,2.003922,0,0,11,0,15,4098,0,5,"Balnir Farmstead",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
166,0,85,243,2.003922,0,0,11,0,2,4131,0,5,"Cold Hearth Manor",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
167,0,85,244,2.003922,0,0,11,0,2,4165,0,8,"Crusader Outpost",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
168,0,85,245,2.003922,0,0,11,567,2,4198,0,0,"The North Coast",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
169,0,85,577,2.003922,0,0,11,567,0,4228,0,0,"Whispering Shore",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
170,0,0,246,16448,0,0,11,31,2,4245,0,0,"Lordamere Lake",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
172,0,130,247,2.003922,0,0,11,0,718,4274,0,12,"Fenris Isle",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
173,0,85,620,2.003922,0,0,11,0,2,4297,0,0,"Faol's Rest",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
186,1,141,622,2.753922,0,0,11,0,11,4320,712,5,"Dolanaar",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
187,1,141,248,2.003922,0,0,11,48,76,4329,63,7,"Darnassus UNUSED",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
188,1,6450,561,2.753906,0,0,11,48,11,4362,0,0,"Shadowglen",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
189,0,1,249,2.003922,0,0,11,0,8,4373,0,5,"Steelgrill's Depot",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
190,0,28,250,2.003922,0,0,11,0,0,4410,0,56,"Hearthglen",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
192,0,28,251,2.003922,0,0,11,0,0,4421,0,55,"Northridge Lumber Camp",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
193,0,28,252,2.003922,0,0,11,0,15,4465,0,55,"Andorhal",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
195,0,28,253,2.003922,0,0,11,0,0,4490,0,0,"School of Necromancy",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
196,0,28,578,2.003922,0,0,11,0,15,4530,0,0,"Uther's Tomb",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
197,0,28,254,2.003922,0,0,11,0,671,4555,0,50,"Sorrow Hill",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
198,0,28,255,2.003922,0,0,11,37,0,4578,0,55,"The Weeping Cave",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
199,0,28,256,2.003922,0,0,11,0,10,4610,0,50,"Felstone Field",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
200,0,28,257,2.003922,0,0,11,0,10,4639,0,54,"Dalson's Farm",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
201,0,28,258,2.003922,0,0,11,37,10,4667,0,57,"Gahrron's Withering",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
202,0,28,259,2.003922,0,0,11,0,670,4706,0,46,"The Writhing Haunt",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
203,0,28,260,2.003922,0,0,11,0,193,4742,0,0,"Mardenholde Keep",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
204,0,130,261,2.003922,0,0,11,0,720,4775,301,15,"Pyrewood Village",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
205,0,11,262,2.003922,0,0,11,0,191,4808,0,28,"Dun Modr",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
206,574,0,263,0,4,0,11,429,0,4825,0,0,"Utgarde Keep",0,0,0,0,0,-500,0.7,0,13,0,0,675,0,0,0,0
207,36,0,264,64,0,0,11,0,9,4850,0,0,"The Great Sea",0,0,0,0,0,-500,0,0,13,0,0,675,0,0,0,0
208,36,0,265,64,0,76,11,34,0,4876,0,0,"Unused Ironcladcove",0,0,0,0,0,-500,0,0,13,0,0,675,0,0,0,0
209,33,0,266,0,4,0,11,28,2,4915,0,16,"Shadowfang Keep",4,0,0,0,0,-500,0,0,13,0,0,675,0,0,0,0
210,571,0,267,69,0,0,11,466,421,4946,543,80,"Icecrown",0,0,0,0,0,-500,0.75,0,15,0,0,675,0,0,22,23
211,0,6457,268,2.003906,0,0,11,42,8,4955,0,7,"Iceflow Lake",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
212,0,1,269,2.003922,0,0,11,0,8,4980,0,8,"Helm's Bed Lake",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
213,0,130,270,2.003922,0,0,11,0,2,5010,324,13,"Deep Elem Mine",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
214,0,0,271,16448,0,0,11,0,9,4850,0,0,"The Great Sea",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
215,1,0,272,16448,0,0,11,589,596,5038,0,0,"Mulgore",4,0,0,0,0,-500,0.3,0,15,0,0,675,0,0,1,2
219,0,40,273,2.003922,0,0,11,0,9,5046,0,15,"Alexston Farmstead",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
220,1,6452,562,2.503906,0,0,11,30,596,5083,0,0,"Red Cloud Mesa",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
221,1,6452,274,2.253906,0,0,11,30,797,5111,0,0,"Camp Narache",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
222,1,215,275,2.753922,0,0,11,0,797,5136,0,5,"Bloodhoof Village",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
